	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1
OG0000270	AFZ53474	ACC84113	EKQ67741, EKQ71067
OG0000271	AFZ53479	ACC80922	EKQ68576, EKQ70218
OG0000272	AFZ53480	ACC80921	EKQ68575, EKQ70217
OG0000273	AFZ53511	ACC84313	EKQ66777, EKQ71229
OG0000274	AFZ53534, AFZ54480	ACC83500	EKQ67451
OG0000275	AFZ53542	ACC79445	EKQ68748, EKQ69471
OG0000276	AFZ53548	ACC80061, ACC81385	EKQ70253
OG0000277	AFZ53602, AFZ55558	ACC81884	EKQ69965
OG0000278	AFZ53628	ACC80369	EKQ68080, EKQ70748
OG0000279	AFZ53655	ACC82820, ACC82821	EKQ69829
OG0000280	AFZ53663	ACC79306, ACC84485, ACC85289	
OG0000281	AFZ53684	ACC79044, ACC82624	EKQ71136
OG0000282	AFZ53689	ACC84678, ACC85198	EKQ69938
OG0000283	AFZ53769	ACC80351	EKQ69547, EKQ69552
OG0000284	AFZ53771	ACC83269	EKQ69806, EKQ70263
OG0000285	AFZ53777	ACC81971, ACC84277	EKQ70911
OG0000286	AFZ53783	ACC79660, ACC82459	EKQ69565
OG0000287	AFZ53784	ACC79986, ACC82555	EKQ70582
OG0000288	AFZ53790	ACC81345	EKQ67365, EKQ68092
OG0000289	AFZ53794	ACC81247, ACC84265	EKQ68934
OG0000290	AFZ53805	ACC80172, ACC82434	EKQ71146
OG0000291	AFZ53819	ACC83306	EKQ67891, EKQ70176
OG0000292	AFZ53826	ACC80478, ACC81668, ACC85190	
OG0000293	AFZ53918	ACC80623, ACC82315	EKQ67204
OG0000294	AFZ53925	ACC79012, ACC83149	EKQ69422
OG0000295	AFZ53930, AFZ55231	ACC81869	EKQ68850
OG0000296	AFZ53948	ACC78839, ACC80708	EKQ67466
OG0000297	AFZ53995	ACC82062, ACC82098, ACC83897	
OG0000298	AFZ54016	ACC81877	EKQ67175, EKQ68485
OG0000299	AFZ54034	ACC83212, ACC84135	EKQ69783
OG0000300	AFZ54037	ACC79443, ACC81296	EKQ71128
OG0000301	AFZ54114	ACC79937, ACC84329, ACC84786	
OG0000302	AFZ54122	ACC79527	EKQ67013, EKQ69513
OG0000303	AFZ54136, AFZ54210	ACC83141	EKQ71230
OG0000304	AFZ54154	ACC84068, ACC84830	EKQ70016
OG0000305	AFZ54162	ACC81531, ACC83407	EKQ71122
OG0000306	AFZ54172	ACC79985, ACC84881	EKQ68755
OG0000307	AFZ54207, AFZ55206	ACC83611	EKQ68817
OG0000308	AFZ54224	ACC78955, ACC81500	EKQ67310
OG0000309	AFZ54237	ACC84333, ACC85157	EKQ69850
OG0000310	AFZ54328	ACC79093, ACC84784	EKQ69072
OG0000311	AFZ54330	ACC84266	EKQ68478, EKQ69720
OG0000312	AFZ54340	ACC79086, ACC79471	EKQ66819
OG0000313	AFZ54343	ACC79087, ACC79470	EKQ66818
OG0000314	AFZ54415	ACC81897	EKQ69457, EKQ70180
OG0000315	AFZ54431, AFZ54432, AFZ54434		EKQ70885
OG0000316	AFZ54439	ACC84504, ACC84505	EKQ69424
OG0000317	AFZ54457	ACC79374, ACC84536	EKQ70254
OG0000318	AFZ54484	ACC81405, ACC84740	EKQ69385
OG0000319	AFZ54498	ACC82625, ACC83627	EKQ70246
OG0000320	AFZ54519, AFZ54877	ACC84503	EKQ69425
OG0000321	AFZ54524	ACC82320, ACC82626	EKQ67402
OG0000322	AFZ54558	ACC85019, ACC85253	EKQ67025
OG0000323	AFZ54593	ACC79477, ACC79981	EKQ68406
OG0000324	AFZ54596	ACC82479, ACC82543	EKQ67743
OG0000325	AFZ54628, AFZ55121	ACC83923	EKQ69383
OG0000326	AFZ54638, AFZ54820	ACC83722	EKQ69556
OG0000327	AFZ54639	ACC79845, ACC83948, ACC84699	
OG0000328	AFZ54654	ACC84186, ACC84843	EKQ67717
OG0000329	AFZ54658	ACC80017	EKQ68462, EKQ70214
OG0000330	AFZ54672	ACC80766, ACC84304	EKQ71245
OG0000331	AFZ54675	ACC81533, ACC83461	EKQ71124
OG0000332	AFZ54677	ACC83161	EKQ67197, EKQ68630
OG0000333	AFZ54678	ACC84056	EKQ69467, EKQ70120
OG0000334	AFZ54729	ACC80254, ACC80664	EKQ69269
OG0000335	AFZ54746, AFZ55556	ACC81228	EKQ70614
OG0000336	AFZ54749	ACC81459, ACC85283	EKQ70093
OG0000337	AFZ54755	ACC79665	EKQ67231, EKQ69654
OG0000338	AFZ54781	ACC80353, ACC82122	EKQ70060
OG0000339	AFZ54785	ACC82366, ACC82727, ACC82885	
OG0000340	AFZ54796	ACC81532, ACC83408	EKQ71123
OG0000341	AFZ54818	ACC80959	EKQ69554, EKQ69560
OG0000342	AFZ54819	ACC81693, ACC82544	EKQ69555
OG0000343	AFZ54839	ACC80029	EKQ70564, EKQ70652
OG0000344	AFZ54865	ACC80938, ACC82873	EKQ68275
OG0000345	AFZ54870	ACC81437	EKQ67055, EKQ71193
OG0000346	AFZ54880	ACC79983, ACC82550	EKQ67730
OG0000347	AFZ54886	ACC80825, ACC84607	EKQ68160
OG0000348	AFZ54934	ACC84453	EKQ67889, EKQ68933
OG0000349	AFZ54956, AFZ55369	ACC84461	EKQ71164
OG0000350	AFZ55096	ACC80836, ACC84326	EKQ70677
OG0000351	AFZ55126	ACC83715, ACC84050	EKQ67517
OG0000352	AFZ55128	ACC83740, ACC84396	EKQ69128
OG0000353	AFZ55132	ACC79914	EKQ66754, EKQ68418
OG0000354	AFZ55147	ACC79307, ACC79312, ACC79313	
OG0000355	AFZ55154	ACC79300, ACC82812	EKQ67647
OG0000356	AFZ55175	ACC81197, ACC83437	EKQ68696
OG0000357	AFZ55181	ACC80789, ACC80794, ACC81026	
OG0000358	AFZ55223	ACC81278, ACC85404	EKQ68068
OG0000359	AFZ55239	ACC81558, ACC82927	EKQ68168
OG0000360	AFZ55244	ACC82248	EKQ66835, EKQ70781
OG0000361	AFZ55246	ACC81985, ACC82073	EKQ71002
OG0000362	AFZ55253	ACC79811, ACC83940	EKQ71302
OG0000363	AFZ55258	ACC79296	EKQ67714, EKQ67716
OG0000364	AFZ55265, AFZ55351	ACC79139	EKQ70965
OG0000365	AFZ55266, AFZ55352	ACC79140	EKQ70964
OG0000366	AFZ55290	ACC82445, ACC83730	EKQ67873
OG0000367	AFZ55291	ACC78820	EKQ66863, EKQ66935
OG0000368	AFZ55319	ACC84188, ACC84842	EKQ67580
OG0000369	AFZ55382	ACC84839	EKQ67884, EKQ71080
OG0000370	AFZ55394	ACC83649, ACC84256	EKQ69420
OG0000371	AFZ55455	ACC80573, ACC85106, ACC85345	
OG0000372	AFZ55478	ACC79623, ACC84829	EKQ68624
OG0000373	AFZ55509	ACC81923, ACC82165	EKQ69985
OG0000374	AFZ55521	ACC85296, ACC85399, ACC85427	
OG0000375		ACC78870, ACC78874	EKQ67290, EKQ67514
OG0000376		ACC78871, ACC83196, ACC83919	EKQ67385
OG0000377		ACC78873, ACC79078, ACC81410	EKQ68989
OG0000378		ACC79039, ACC79040, ACC79041	EKQ67903
OG0000379		ACC79194, ACC79763, ACC84196	EKQ67142
OG0000380		ACC79207, ACC84098	EKQ67136, EKQ68698
OG0000381		ACC79248, ACC79690, ACC81696	EKQ71256
OG0000382		ACC79328, ACC82221, ACC83696	EKQ70256
OG0000383		ACC79392, ACC79789	EKQ66737, EKQ69638
OG0000384		ACC79558, ACC83174, ACC83175	EKQ68957
OG0000385		ACC79575, ACC81983, ACC84191	EKQ67473
OG0000386		ACC79684, ACC84446	EKQ66608, EKQ66609
OG0000387		ACC79742, ACC80480, ACC82077	EKQ68174
OG0000388		ACC79838, ACC80109, ACC80110	EKQ70398
OG0000389		ACC79980, ACC81515, ACC84667	EKQ70494
OG0000390		ACC80410, ACC84171, ACC84172	EKQ66958
OG0000391		ACC80461, ACC83382	EKQ66795, EKQ71214
OG0000392		ACC80518, ACC82092, ACC83294	EKQ66871
OG0000393		ACC80702, ACC81851, ACC84216	EKQ70477
OG0000394		ACC80722, ACC80830, ACC81649, ACC82703	
OG0000395		ACC80797, ACC81794	EKQ67000, EKQ68738
OG0000396		ACC80930, ACC83971	EKQ69014, EKQ69136
OG0000397		ACC81084, ACC83477	EKQ66949, EKQ68556
OG0000398		ACC81476, ACC84328	EKQ68005, EKQ68951
OG0000399		ACC81514, ACC83640, ACC84831	EKQ66788
OG0000400		ACC81727, ACC82206	EKQ66675, EKQ68429
OG0000401		ACC81804, ACC81925	EKQ69158, EKQ70928
OG0000402		ACC81805, ACC81926	EKQ69154, EKQ70921
OG0000403		ACC82114, ACC83076, ACC84004	EKQ69943
OG0000404		ACC82184, ACC84847	EKQ67547, EKQ71015
OG0000405		ACC82595	EKQ66853, EKQ67844, EKQ69810
OG0000406		ACC84604	EKQ68001, EKQ68093, EKQ71336
OG0000407		ACC84864	EKQ67065, EKQ70306, EKQ70572
OG0000408	AFZ52162	ACC84790	EKQ68830
OG0000409	AFZ52163	ACC82827	EKQ67061
OG0000410	AFZ52166	ACC79281	EKQ69500
OG0000411	AFZ52170	ACC82688	EKQ67489
OG0000412	AFZ52173	ACC84737	EKQ69333
OG0000413	AFZ52175	ACC84516	EKQ69355
OG0000414	AFZ52176	ACC79509	EKQ66643
OG0000415	AFZ52178	ACC80939	EKQ67541
OG0000416	AFZ52179	ACC80941	EKQ67544
OG0000417	AFZ52180	ACC79586	EKQ68771
OG0000418	AFZ52181	ACC79585	EKQ68770
OG0000419	AFZ52182	ACC79584	EKQ68769
OG0000420	AFZ52183	ACC79421	EKQ67279
OG0000421	AFZ52184	ACC84295	EKQ68227
OG0000422	AFZ52185	ACC84317	EKQ69509
OG0000423	AFZ52186	ACC83727	EKQ70782
OG0000424	AFZ52188	ACC82860	EKQ69197
OG0000425	AFZ52192	ACC83823	EKQ71278
OG0000426	AFZ52193	ACC82846	EKQ67704
OG0000427	AFZ52194	ACC82845	EKQ67703
OG0000428	AFZ52195	ACC82844	EKQ67701
OG0000429	AFZ52196	ACC82843	EKQ67700
OG0000430	AFZ52197	ACC84130	EKQ67062
OG0000431	AFZ52199	ACC82621	EKQ68097
OG0000432	AFZ52200	ACC78887	EKQ70723
OG0000433	AFZ52201	ACC82781	EKQ68317
OG0000434	AFZ52202	ACC82807	EKQ70997
OG0000435	AFZ52203	ACC82416	EKQ70503
OG0000436	AFZ52204	ACC79410	EKQ67438
OG0000437	AFZ52205	ACC84255	EKQ68789
OG0000438	AFZ52206	ACC83310	EKQ69074
OG0000439	AFZ52207	ACC84069	EKQ70015
OG0000440	AFZ52209	ACC83815	EKQ69386
OG0000441	AFZ52210	ACC83093	EKQ67018
OG0000442	AFZ52211	ACC84371	EKQ67629
OG0000443	AFZ52214	ACC82502	EKQ68308
OG0000444	AFZ52215	ACC82708	EKQ68682
OG0000445	AFZ52216	ACC81950	EKQ68633
OG0000446	AFZ52222	ACC83861	EKQ68715
OG0000447	AFZ52223	ACC83862	EKQ68583
OG0000448	AFZ52224	ACC83863	EKQ68584
OG0000449	AFZ52225	ACC83864	EKQ68585
OG0000450	AFZ52226	ACC84358	EKQ71039
OG0000451	AFZ52227	ACC83365	EKQ70103
OG0000452	AFZ52228	ACC83033	EKQ67902
OG0000453	AFZ52230	ACC82344	EKQ69717
OG0000454	AFZ52231	ACC82118	EKQ69672
OG0000455	AFZ52232	ACC83773	EKQ71138
OG0000456	AFZ52233	ACC84888	EKQ70536
OG0000457	AFZ52234	ACC81471	EKQ69785
OG0000458	AFZ52235, AFZ54955	ACC78943	
OG0000459	AFZ52239	ACC84096	EKQ66596
OG0000460	AFZ52243	ACC78867	EKQ67511
OG0000461	AFZ52245	ACC81203	EKQ70876
OG0000462	AFZ52246	ACC84124	EKQ67909
OG0000463	AFZ52247	ACC79453	EKQ67380
OG0000464	AFZ52248	ACC78833	EKQ70076
OG0000465	AFZ52249	ACC80958	EKQ71040
OG0000466	AFZ52250	ACC84041	EKQ70040
OG0000467	AFZ52252	ACC80498	EKQ69038
OG0000468	AFZ52253	ACC83743	EKQ67555
OG0000469	AFZ52254	ACC81896	EKQ69807
OG0000470	AFZ52255	ACC79346	EKQ67553
OG0000471	AFZ52256	ACC83816	EKQ67598
OG0000472	AFZ52257	ACC83817	EKQ67600
OG0000473	AFZ52258	ACC83818	EKQ67601
OG0000474	AFZ52263	ACC81064	EKQ68802
OG0000475	AFZ52264	ACC79621	EKQ67587
OG0000476	AFZ52265	ACC79280	EKQ69499
OG0000477	AFZ52266	ACC83791	EKQ67839
OG0000478	AFZ52267	ACC79056	EKQ67779
OG0000479	AFZ52269	ACC82696	EKQ69888
OG0000480	AFZ52270	ACC82697	EKQ68038
OG0000481	AFZ52271	ACC82989	EKQ68846
OG0000482	AFZ52272	ACC81295	EKQ71120
OG0000483	AFZ52278	ACC81380	EKQ69288
OG0000484	AFZ52279	ACC82984	EKQ71281
OG0000485	AFZ52281	ACC79962	EKQ69351
OG0000486	AFZ52282	ACC83931	EKQ67495
OG0000487	AFZ52283	ACC83930	EKQ70659
OG0000488	AFZ52284	ACC84640	EKQ70132
OG0000489	AFZ52286	ACC84013	EKQ68183
OG0000490	AFZ52287	ACC81889	EKQ68232
OG0000491	AFZ52288	ACC81912	EKQ69317
OG0000492	AFZ52292	ACC82454	EKQ66761
OG0000493	AFZ52293	ACC79611	EKQ69257
OG0000494	AFZ52294	ACC83405	EKQ70896
OG0000495	AFZ52295	ACC83404	EKQ70895
OG0000496	AFZ52296	ACC80387	EKQ68089
OG0000497	AFZ52298	ACC82474	EKQ66633
OG0000498	AFZ52300	ACC80264	EKQ69412
OG0000499	AFZ52302	ACC79411	EKQ67699
OG0000500	AFZ52304	ACC82886	EKQ70634
OG0000501	AFZ52305	ACC82887	EKQ70633
OG0000502	AFZ52306	ACC80976	EKQ68131
OG0000503	AFZ52307, AFZ53204		EKQ69723
OG0000504	AFZ52308	ACC82144	EKQ70136
OG0000505	AFZ52311	ACC83286	EKQ68913
OG0000506	AFZ52312	ACC83285	EKQ68914
OG0000507	AFZ52313	ACC84151	EKQ66651
OG0000508	AFZ52314	ACC84152	EKQ66652
OG0000509	AFZ52315	ACC84565	EKQ66975
OG0000510	AFZ52316	ACC79216	EKQ70947
OG0000511	AFZ52325	ACC84511	EKQ69727
OG0000512	AFZ52326	ACC82652	EKQ70065
OG0000513	AFZ52330	ACC81392	EKQ70703
OG0000514	AFZ52331	ACC81391	EKQ70704
OG0000515	AFZ52332	ACC78853	EKQ69341
OG0000516	AFZ52333	ACC81266	EKQ69021
OG0000517	AFZ52334	ACC80566	EKQ69452
OG0000518	AFZ52338	ACC79709	EKQ70791
OG0000519	AFZ52339	ACC81298	EKQ68471
OG0000520	AFZ52340	ACC82623	EKQ71135
OG0000521	AFZ52341	ACC82724	EKQ69008
OG0000522	AFZ52342	ACC82904	EKQ69398
OG0000523	AFZ52343	ACC83739	EKQ70865
OG0000524	AFZ52346	ACC84444	EKQ69492
OG0000525	AFZ52347	ACC80208	EKQ69302
OG0000526	AFZ52349	ACC82651	EKQ70021
OG0000527	AFZ52350	ACC84146	EKQ69488
OG0000528	AFZ52351	ACC84147	EKQ66647
OG0000529	AFZ52352	ACC84148	EKQ66648
OG0000530	AFZ52353	ACC84149	EKQ66649
OG0000531	AFZ52354	ACC84150	EKQ66650
OG0000532	AFZ52361	ACC82453	EKQ70650
OG0000533	AFZ52363	ACC84445	EKQ69493
OG0000534	AFZ52365	ACC83431	EKQ67852
OG0000535	AFZ52368	ACC78861	EKQ69748
OG0000536	AFZ52369	ACC81970	EKQ71314
OG0000537	AFZ52370	ACC84376	EKQ67967
OG0000538	AFZ52372	ACC84249	EKQ68796
OG0000539	AFZ52373	ACC83167	EKQ68937
OG0000540	AFZ52374	ACC78904	EKQ70773
OG0000541	AFZ52376	ACC82440	EKQ70152
OG0000542	AFZ52377	ACC82425	EKQ69246
OG0000543	AFZ52378	ACC79227	EKQ70824
OG0000544	AFZ52379	ACC79228	EKQ70825
OG0000545	AFZ52381	ACC79082	EKQ68100
OG0000546	AFZ52382	ACC82663	EKQ68620
OG0000547	AFZ52385	ACC80389	EKQ70133
OG0000548	AFZ52386	ACC82317	EKQ70899
OG0000549	AFZ52387	ACC82318	EKQ70900
OG0000550	AFZ52389	ACC78897	EKQ69601
OG0000551	AFZ52391	ACC78893	EKQ69050
OG0000552	AFZ52392	ACC78892	EKQ69049
OG0000553	AFZ52393	ACC81364	EKQ67832
OG0000554	AFZ52394	ACC82918	EKQ69176
OG0000555	AFZ52395	ACC83265	EKQ71061
OG0000556	AFZ52401	ACC83190	EKQ68835
OG0000557	AFZ52402	ACC82232	EKQ67221
OG0000558	AFZ52404	ACC79370	EKQ69784
OG0000559	AFZ52406	ACC84500	EKQ71083
OG0000560	AFZ52409	ACC79953	EKQ68717
OG0000561	AFZ52410	ACC82247	EKQ68664
OG0000562	AFZ52411	ACC82246	EKQ68665
OG0000563	AFZ52412	ACC82245	EKQ68666
OG0000564	AFZ52413	ACC79886	EKQ69059
OG0000565	AFZ52414	ACC79887	EKQ69060
OG0000566	AFZ52415	ACC81412	EKQ66887
OG0000567	AFZ52417	ACC81935, ACC82133	
OG0000568	AFZ52418	ACC84128	EKQ69737
OG0000569	AFZ52419	ACC84129	EKQ69738
OG0000570	AFZ52420	ACC84281	EKQ70907
OG0000571	AFZ52421	ACC83106	EKQ71258
OG0000572	AFZ52422	ACC82090	EKQ68091
OG0000573	AFZ52423	ACC82671	EKQ68612
OG0000574	AFZ52424	ACC84284	EKQ70906
OG0000575	AFZ52425	ACC84285	EKQ70905
OG0000576	AFZ52426	ACC81958	EKQ69260
OG0000577	AFZ52427	ACC82931	EKQ70812
OG0000578	AFZ52428	ACC84759	EKQ68184
OG0000579	AFZ52432, AFZ53518		EKQ67676
OG0000580	AFZ52439	ACC80217	EKQ70221
OG0000581	AFZ52443	ACC79359	EKQ69266
OG0000582	AFZ52446	ACC82182	EKQ68071
OG0000583	AFZ52447	ACC80522	EKQ69303
OG0000584	AFZ52449	ACC80068	EKQ69241
OG0000585	AFZ52451	ACC83541	EKQ68920
OG0000586	AFZ52454	ACC82928	EKQ68169
OG0000587	AFZ52455	ACC79963	EKQ66738
OG0000588	AFZ52456	ACC81959	EKQ69259
OG0000589	AFZ52457	ACC83567	EKQ70194
OG0000590	AFZ52458	ACC79615	EKQ70226
OG0000591	AFZ52459	ACC82818	EKQ68106
OG0000592	AFZ52460	ACC79079	EKQ70143
OG0000593	AFZ52462	ACC83802	EKQ68073
OG0000594	AFZ52463	ACC83788	EKQ67842
OG0000595	AFZ52464	ACC84868	EKQ67524
OG0000596	AFZ52469	ACC84874	EKQ68761
OG0000597	AFZ52473	ACC84726	EKQ68975
OG0000598	AFZ52474	ACC84611	EKQ68255
OG0000599	AFZ52477	ACC82374	EKQ70234
OG0000600	AFZ52478	ACC82375	EKQ70235
OG0000601	AFZ52479	ACC79966	EKQ68116
OG0000602	AFZ52480	ACC81111	EKQ70190
OG0000603	AFZ52481	ACC82414	EKQ70501
OG0000604	AFZ52485	ACC83543	EKQ69171
OG0000605	AFZ52486	ACC84108	EKQ66601
OG0000606	AFZ52488	ACC82921	EKQ69173
OG0000607	AFZ52489	ACC82773	EKQ70182
OG0000608	AFZ52491	ACC82010	EKQ70746
OG0000609	AFZ52493	ACC84692	EKQ70901
OG0000610	AFZ52494	ACC80553	EKQ66878
OG0000611	AFZ52495	ACC83158	EKQ68897
OG0000612	AFZ52498	ACC84140	EKQ70011
OG0000613	AFZ52502	ACC83884	EKQ71071
OG0000614	AFZ52504	ACC82003	EKQ68297
OG0000615	AFZ52505	ACC82262	EKQ67275
OG0000616	AFZ52507	ACC80223	EKQ70019
OG0000617	AFZ52512	ACC81932	EKQ69936
OG0000618	AFZ52514	ACC81072	EKQ67129
OG0000619	AFZ52515	ACC83800	EKQ70598
OG0000620	AFZ52516	ACC78902	EKQ70765
OG0000621	AFZ52518	ACC84307	EKQ71318
OG0000622	AFZ52520	ACC84306	EKQ71319
OG0000623	AFZ52521	ACC84352	EKQ71117
OG0000624	AFZ52523	ACC82333	EKQ69879
OG0000625	AFZ52525	ACC84111	EKQ66602
OG0000626	AFZ52526	ACC80567	EKQ69363
OG0000627	AFZ52530	ACC83677	EKQ68890
OG0000628	AFZ52531	ACC79591	EKQ69083
OG0000629	AFZ52533	ACC82259	EKQ69587
OG0000630	AFZ52534	ACC81393	EKQ70702
OG0000631	AFZ52535	ACC81076	EKQ69470
OG0000632	AFZ52536	ACC81077	EKQ69469
OG0000633	AFZ52537	ACC83537	EKQ70789
OG0000634	AFZ52538	ACC81724	EKQ68487
OG0000635	AFZ52539	ACC83006	EKQ70733
OG0000636	AFZ52542	ACC82213	EKQ67044
OG0000637	AFZ52543	ACC82212	EKQ67045
OG0000638	AFZ52544	ACC83578	EKQ67019
OG0000639	AFZ52547	ACC82342	EKQ69719
OG0000640	AFZ52548	ACC82343	EKQ69718
OG0000641	AFZ52550	ACC81362	EKQ70545
OG0000642	AFZ52552	ACC82269	EKQ67268
OG0000643	AFZ52553	ACC82268	EKQ67269
OG0000644	AFZ52555	ACC82266	EKQ67271
OG0000645	AFZ52556	ACC82265	EKQ67272
OG0000646	AFZ52563	ACC80241	EKQ68610
OG0000647	AFZ52564	ACC80240	EKQ68609
OG0000648	AFZ52565	ACC80239	EKQ68608
OG0000649	AFZ52570	ACC82056	EKQ66599
OG0000650	AFZ52573	ACC83218	EKQ68695
OG0000651	AFZ52577	ACC84751	EKQ67202
OG0000652	AFZ52579	ACC79562	EKQ69771
OG0000653	AFZ52580	ACC84429	EKQ67581
OG0000654	AFZ52585	ACC82539	EKQ69218
OG0000655	AFZ52589	ACC79412	EKQ68431
OG0000656	AFZ52590	ACC79233	EKQ67624
OG0000657	AFZ52591	ACC84037	EKQ68141
OG0000658	AFZ52592	ACC84725	EKQ68976
OG0000659	AFZ52595	ACC82677	EKQ70657
OG0000660	AFZ52596	ACC80380	EKQ67765
OG0000661	AFZ52597	ACC84728	EKQ68973
OG0000662	AFZ52599	ACC84729	EKQ68972
OG0000663	AFZ52600	ACC82841	EKQ68931
OG0000664	AFZ52601	ACC83256	EKQ68992
OG0000665	AFZ52602	ACC84586	EKQ69181
OG0000666	AFZ52605	ACC81103	EKQ70063
OG0000667	AFZ52606	ACC81913	EKQ69318
OG0000668	AFZ52610	ACC82615	EKQ70505
OG0000669	AFZ52612	ACC82321	EKQ67401
OG0000670	AFZ52616	ACC80371	EKQ68082
OG0000671	AFZ52617	ACC79885	EKQ69058
OG0000672	AFZ52618	ACC83680	EKQ71275
OG0000673	AFZ52619	ACC80975	EKQ68130
OG0000674	AFZ52624	ACC83947	EKQ69149
OG0000675	AFZ52625	ACC79862	EKQ67526
OG0000676	AFZ52626	ACC79267	EKQ68727
OG0000677	AFZ52628	ACC80379	EKQ67766
OG0000678	AFZ52629	ACC79921	EKQ68129
OG0000679	AFZ52636	ACC79092	EKQ71084
OG0000680	AFZ52637	ACC79563	EKQ69770
OG0000681	AFZ52638	ACC82734	EKQ68858
OG0000682	AFZ52639	ACC82735	EKQ68859
OG0000683	AFZ52640	ACC82736	EKQ68860
OG0000684	AFZ52641	ACC82737	EKQ68861
OG0000685	AFZ52642	ACC82738	EKQ68862
OG0000686	AFZ52643	ACC82739	EKQ68863
OG0000687	AFZ52644	ACC82740	EKQ68864
OG0000688	AFZ52645	ACC82741	EKQ68865
OG0000689	AFZ52646	ACC82742	EKQ68866
OG0000690	AFZ52647	ACC82743	EKQ68867
OG0000691	AFZ52648	ACC82744	EKQ68868
OG0000692	AFZ52649	ACC82745	EKQ68869
OG0000693	AFZ52650	ACC82746	EKQ68870
OG0000694	AFZ52651	ACC82747	EKQ68871
OG0000695	AFZ52652	ACC82748	EKQ68872
OG0000696	AFZ52653	ACC82749	EKQ68873
OG0000697	AFZ52654	ACC82750	EKQ68874
OG0000698	AFZ52655	ACC82751	EKQ68875
OG0000699	AFZ52656	ACC82752	EKQ68876
OG0000700	AFZ52657	ACC82753	EKQ68877
OG0000701	AFZ52658	ACC82754	EKQ68878
OG0000702	AFZ52659	ACC82755	EKQ68879
OG0000703	AFZ52660	ACC82756	EKQ68880
OG0000704	AFZ52661	ACC82757	EKQ68881
OG0000705	AFZ52662	ACC82758	EKQ68882
OG0000706	AFZ52663	ACC82759	EKQ68883
OG0000707	AFZ52664	ACC82760	EKQ68884
OG0000708	AFZ52665	ACC82761	EKQ68885
OG0000709	AFZ52666	ACC82762	EKQ68886
OG0000710	AFZ52667	ACC82763	EKQ68887
OG0000711	AFZ52670	ACC81930	EKQ69474
OG0000712	AFZ52676	ACC83021	EKQ69253
OG0000713	AFZ52683	ACC84141	EKQ70010
OG0000714	AFZ52684	ACC82802	EKQ71262
OG0000715	AFZ52685	ACC83493	EKQ69511
OG0000716	AFZ52687	ACC83492	EKQ69512
OG0000717	AFZ52688	ACC79062	EKQ68895
OG0000718	AFZ52690	ACC78910	EKQ68590
OG0000719	AFZ52692	ACC79564	EKQ67813
OG0000720	AFZ52694	ACC84337	EKQ70508
OG0000721	AFZ52695	ACC82382	EKQ69213
OG0000722	AFZ52697	ACC83558	EKQ67292
OG0000723	AFZ52698	ACC83557	EKQ67291
OG0000724	AFZ52699	ACC82286	EKQ68670
OG0000725	AFZ52701	ACC84632	EKQ69270
OG0000726	AFZ52702	ACC84633	EKQ69271
OG0000727	AFZ52703	ACC79331	EKQ70522
OG0000728	AFZ52704	ACC81255	EKQ69870
OG0000729	AFZ52705	ACC80243	EKQ68197
OG0000730	AFZ52706	ACC83606	EKQ69090
OG0000731	AFZ52708	ACC79716	EKQ68057
OG0000732	AFZ52709	ACC79733	EKQ71032
OG0000733	AFZ52710	ACC82689	EKQ67490
OG0000734	AFZ52711	ACC82690	EKQ67491
OG0000735	AFZ52712	ACC82691	EKQ67486
OG0000736	AFZ52714	ACC83314	EKQ69788
OG0000737	AFZ52715	ACC82608	EKQ67180
OG0000738	AFZ52716	ACC84580	EKQ70810
OG0000739	AFZ52721		EKQ67343, EKQ67357
OG0000740	AFZ52727	ACC83482	EKQ70736
OG0000741	AFZ52729	ACC82141	EKQ69095
OG0000742	AFZ52730	ACC82532	EKQ69953
OG0000743	AFZ52731	ACC82531	EKQ69954
OG0000744	AFZ52734	ACC83571	EKQ67280
OG0000745	AFZ52739	ACC80337	EKQ67367
OG0000746	AFZ52740	ACC83090	EKQ70546
OG0000747	AFZ52741	ACC84862	EKQ68228
OG0000748	AFZ52743	ACC82435	EKQ68311
OG0000749	AFZ52744	ACC82290	EKQ68240
OG0000750	AFZ52745	ACC83883	EKQ70574
OG0000751	AFZ52749	ACC82467	EKQ68114
OG0000752	AFZ52750	ACC82719	EKQ69276
OG0000753	AFZ52753	ACC83280	EKQ70944
OG0000754	AFZ52754	ACC79222	EKQ70072
OG0000755	AFZ52756	ACC82566	EKQ69310
OG0000756	AFZ52757	ACC79617	EKQ68713
OG0000757	AFZ52760	ACC79871	EKQ69862
OG0000758	AFZ52762	ACC83929	EKQ70660
OG0000759	AFZ52763	ACC78880	EKQ69311
OG0000760	AFZ52764	ACC83926	EKQ70664
OG0000761	AFZ52765	ACC83895	EKQ69098
OG0000762	AFZ52769	ACC79067	EKQ69353
OG0000763	AFZ52770	ACC79066	EKQ69354
OG0000764	AFZ52771	ACC84582	EKQ67925
OG0000765	AFZ52772	ACC80326	EKQ69485
OG0000766	AFZ52775	ACC83979	EKQ68280
OG0000767	AFZ52776	ACC84053	EKQ69634
OG0000768	AFZ52778	ACC79260	EKQ68766
OG0000769	AFZ52779	ACC84034	EKQ69611
OG0000770	AFZ52780	ACC78878	EKQ69735
OG0000771	AFZ52781	ACC82572	EKQ71023
